Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2024-10-07,249.0,249.8300018310547,240.6999969482422,240.8300018310547,68113300,167.3352883566198,168.09353960289477,162.37668722767793,162.6061553955078,22463100,224.0069975750027,225.19438676879486,220.84396072803747,221.2031707763672,39505400
2024-10-08,243.55999755859375,246.2100067138672,240.55999755859375,244.5,56303200,163.5639517960843,164.35213297119705,162.49639888774195,164.00294494628906,23072700,223.80742742544692,225.4837307412941,222.75973024040246,225.27420043945312,31855700
2024-10-09,243.82000732421875,247.42999267578125,239.50999450683594,241.0500030517578,66289500,163.07507293573457,164.46188392429227,159.37359151374716,161.4887237548828,31181800,224.73538646570117,229.24546472466872,224.33627096325682,229.03591918945312,33591100
2024-10-10,241.80999755859375,242.7899932861328,232.33999633789062,238.77000427246094,83087100,160.50099024469034,162.69595604624766,160.0320671165202,161.70822143554688,14144100,227.279775108536,228.99599906464633,226.67111410985407,228.53700256347656,28183500
2024-10-11,220.1300048828125,223.33999633789062,214.3800048828125,217.8000030517578,142628900,161.75810039177787,163.52402928799188,160.87014254138842,162.8655548095703,15344300,228.79644988971887,228.9062089337624,226.84074743911052,227.05029296875,31759200
2024-10-14,220.1300048828125,221.91000366210938,213.74000549316406,219.16000366210938,86291900,163.26463978878337,165.84869515872447,163.02518482340258,164.5816192626953,19016100,228.19775690140833,231.22110160659443,228.09798564307096,230.79205322265625,39882100
2024-10-15,220.00999450683594,224.25999450683594,217.1199951171875,219.57000732421875,62988800,165.40970450318616,167.29536861569628,164.25237687914083,165.08047485351562,20247200,233.0969778733182,236.9684620133565,231.85969551276995,233.33645629882812,64751400
2024-10-16,221.39999389648438,222.82000732421875,218.92999267578125,221.3300018310547,49632800,164.1525986742248,165.41968980167007,163.36441748042412,164.78115844726562,16406000,231.09139869260778,231.61024577942743,229.33525401328018,231.27099609375,34082200
2024-10-17,221.58999633789062,222.0800018310547,217.89999389648438,220.88999938964844,50791800,165.3498394792033,165.9883708197769,162.3866509330354,162.55625915527344,21453400,232.9173703418766,233.3364614020046,230.0137723986246,231.6401824951172,32993800
2024-10-18,220.7100067138672,222.27999877929688,219.22999572753906,220.6999969482422,49611900,162.81568258592537,164.3322003226238,162.7059342913527,163.04515075683594,19757700,235.66133386929857,235.66133386929857,233.4961010856326,234.4839324951172,46431500
2024-10-21,218.89999389648438,220.47999572753906,215.72999572753906,218.85000610351562,47329000,162.57622324771475,164.12267091200812,162.24697837282997,163.69366455078125,20946500,233.9351372634737,236.32987592195377,233.9351372634737,235.96067810058594,36254500
2024-10-22,217.30999755859375,218.22000122070312,215.25999450683594,217.97000122070312,43268700,162.60615092256947,165.38975972379467,162.60615092256947,164.76119995117188,16568100,233.376366009758,235.70125104779564,232.08920560922664,235.342041015625,38846600
2024-10-23,217.1300048828125,218.72000122070312,212.11000061035156,213.64999389648438,80938900,164.38207025094962,165.43965162521155,161.5585598399715,162.4066162109375,18280500,233.56595129753524,234.62362105235994,227.25982300232985,230.25323486328125,52287000
2024-10-24,244.67999267578125,262.1199951171875,242.64999389648438,260.4800109863281,204491900,162.45648900457678,162.95534206352698,160.64065656258018,162.34674072265625,22412500,229.4749437774939,230.31311065070702,227.90839952304313,230.06365966796875,31109500
2024-10-25,256.010009765625,269.489990234375,255.32000732421875,269.19000244140625,161611900,163.29456372883286,165.21015770980458,163.04513719135548,164.89089965820312,19828900,229.23547896644118,232.7078323586645,229.0658541264054,230.9018096923828,38802300
2024-10-28,270.0,273.5400085449219,262.239990234375,262.510009765625,107653600,168.3629124526984,168.3629124526984,163.5739198981752,166.3375701904297,32138600,232.80762499530724,234.21451699403664,232.03931169048735,232.88743591308594,36087100
2024-10-29,264.510009765625,264.9800109863281,255.50999450683594,259.5199890136719,80521800,167.34524754513916,169.98917796535144,166.70671622088258,169.290771484375,42169000,232.58810476348472,233.815399347975,231.8098189074392,233.15684509277344,35417200
2024-10-30,258.0400085449219,263.3500061035156,255.82000732421875,257.54998779296875,53993600,180.26553244445503,181.6024702004282,173.660722875302,174.059814453125,68890800,232.09917848988178,232.95729049985403,229.04590082483264,229.59469604492188,47070900
2024-10-31,257.989990234375,259.75,249.25,249.85000610351562,66575300,172.73288489023227,176.41442332366287,170.60776574356834,170.71751403808594,44769000,228.83635490362704,229.325284321648,224.8750719925984,225.4138946533203,64370100
2024-11-01,252.0399932861328,254.0,246.6300048828125,248.97999572753906,57544800,169.67989197256162,171.924730806551,168.49261922011235,170.89707946777344,31796500,220.48474431371312,224.8551305713263,219.78628458026085,222.4204864501953,65276700
2024-11-04,244.55999755859375,248.89999389648438,238.8800048828125,242.83999633789062,68802400,169.54019582543023,170.33836377636248,167.6246018774653,168.85179138183594,21492700,220.5046966292777,222.3007315284092,219.2275088130919,221.52244567871094,44944500
2024-11-05,247.33999633789062,255.27999877929688,246.2100067138672,251.44000244140625,69282500,169.04136050984187,170.1388434605921,168.45271748343447,169.3506622314453,18242100,221.31291912362707,223.45819152571042,220.65436486265338,222.95928955078125,28111300
2024-11-06,284.6700134277344,289.5899963378906,275.6199951171875,288.5299987792969,165228700,173.40134249175,176.53413938489027,173.1020275837351,176.10511779785156,33695500,222.12113695305962,225.5735453041769,220.7042571772517,222.23089599609375,54561100
2024-11-07,288.8900146484375,299.75,285.5199890136719,296.9100036621094,117309200,177.00306824410018,180.66464832946426,176.78357165271254,180.3354034423828,25352900,224.13670611072257,227.37956894750107,224.0768403097807,226.98043823242188,42137700
2024-11-08,299.1400146484375,328.7099914550781,297.6600036621094,321.2200012207031,204782800,180.23561473741785,180.48504128160124,177.6715177795822,177.94090270996094,22006200,226.92049995960826,228.4088689967903,226.16134014604208,226.7107391357422,38328800
2024-11-11,346.29998779296875,358.6400146484375,336.0,350.0,210521600,178.17038077952392,180.13586327493155,178.06063248502642,179.9363250732422,17450400,224.7528927426808,225.45212091614073,221.25673663335022,223.98373413085938,42005600
2024-11-12,342.739990234375,345.8399963378906,323.30999755859375,328.489990234375,155726000,179.40752552521292,182.07139909398467,178.9785039683493,181.20338439941406,25134900,224.30339000560164,225.34224111445195,223.11469448970428,223.98373413085938,40398300
