Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-09-26 00:00:00+05:30,4182.952549413949,4238.725058292773,4182.952549413949,4214.86474609375,3964251,0.0,0.0
2024-09-27 00:00:00+05:30,4256.596112539378,4298.818403851764,4222.2780351461415,4230.77197265625,3012477,0.0,0.0
2024-09-30 00:00:00+05:30,4209.365945175714,4221.001718965056,4183.001465184691,4191.298828125,2503416,0.0,0.0
2024-10-01 00:00:00+05:30,4178.583136778167,4218.056263856357,4166.211406289576,4210.34814453125,1823365,0.0,0.0
2024-10-03 00:00:00+05:30,4185.505533031941,4201.608822204832,4133.85677529384,4156.1953125,3350119,0.0,0.0
2024-10-04 00:00:00+05:30,4148.5856235577485,4220.26532782277,4147.652613708516,4175.3427734375,2965463,0.0,0.0
2024-10-07 00:00:00+05:30,4196.601130169736,4219.528912395065,4152.905967774814,4195.5703125,1472619,0.0,0.0
2024-10-08 00:00:00+05:30,4195.324834210528,4202.001656010186,4127.9165503585355,4176.32470703125,1541867,0.0,0.0
2024-10-09 00:00:00+05:30,4182.952573592642,4217.319554831079,4169.893312502065,4176.0302734375,1082504,0.0,0.0
2024-10-10 00:00:00+05:30,4176.324950925273,4216.19074786921,4122.663456603558,4150.9423828125,2378875,0.0,0.0
2024-10-11 00:00:00+05:30,4068.068925004607,4165.229488527156,4038.0716498141223,4074.156982421875,5759183,0.0,0.0
2024-10-14 00:00:00+05:30,4065.123003109471,4090.063516948677,4047.645129803671,4061.83349609375,2137590,0.0,0.0
2024-10-15 00:00:00+05:30,4056.3348009096194,4094.531631187995,4020.937000293908,4042.342529296875,2759474,0.0,0.0
2024-10-16 00:00:00+05:30,4011.1177013655647,4040.5751141050914,3993.6395885284373,4020.8876953125,2359151,0.0,0.0
2024-10-17 00:00:00+05:30,4038.414674215347,4055.2548785670365,4018.9238301370233,4034.68359375,2522659,0.0,0.0
2024-10-18 00:00:00+05:30,4025.824971583393,4081.0938417563607,4015.981878743336,4058.356201171875,2361000,10.0,0.0
2024-10-21 00:00:00+05:30,4067.7565419545163,4074.991311135829,4006.138686185549,4015.834228515625,1595450,0.0,0.0
2024-10-22 00:00:00+05:30,4002.201514906106,4025.628123729215,3943.4875627358756,3952.493896484375,1928049,0.0,0.0
2024-10-23 00:00:00+05:30,3936.8433940172417,4049.0051452980897,3932.463025582815,4002.447509765625,1966476,0.0,0.0
2024-10-24 00:00:00+05:30,3941.1741746389275,4014.9973672208257,3941.1741746389275,3984.38525390625,2676744,0.0,0.0
2024-10-25 00:00:00+05:30,3993.3918785796277,4027.7934387000987,3969.42385229137,3993.884033203125,1759676,0.0,0.0
2024-10-28 00:00:00+05:30,4005.1051041743235,4069.134469419595,3987.436801068887,4026.66162109375,1532534,0.0,0.0
2024-10-29 00:00:00+05:30,4031.5832637923236,4039.1131336663107,3996.394207004564,4011.306396484375,1445885,0.0,0.0
2024-10-30 00:00:00+05:30,4011.0601058196758,4042.55800112918,3996.344730916741,4020.55859375,1935002,0.0,0.0
2024-10-31 00:00:00+05:30,4006.1387847297265,4014.308599846557,3897.864763520815,3906.18212890625,3740372,0.0,0.0
2024-11-01 00:00:00+05:30,3927.2463058287503,3936.203375700577,3913.662790294584,3921.684814453125,154895,0.0,0.0
2024-11-04 00:00:00+05:30,3904.0658719887983,3929.2640448975253,3851.848217603721,3901.949462890625,2269192,0.0,0.0
2024-11-05 00:00:00+05:30,3879.261266395641,3923.4566554269013,3879.261266395641,3909.03662109375,967590,0.0,0.0
2024-11-06 00:00:00+05:30,3940.780715946805,4084.686443814856,3912.87545183105,4074.69580078125,3792017,0.0,0.0
2024-11-07 00:00:00+05:30,4104.274589912992,4139.80777036327,4020.952665320235,4085.769287109375,3724349,0.0,0.0
2024-11-08 00:00:00+05:30,4089.8048938450424,4104.323455140882,4053.0408475923055,4081.930419921875,1648039,0.0,0.0
2024-11-11 00:00:00+05:30,4063.425535563547,4167.860359857493,4053.04078486624,4132.8193359375,1406487,0.0,0.0
2024-11-12 00:00:00+05:30,4149.847798959433,4151.816417459889,4099.00832230913,4131.53955078125,1587640,0.0,0.0
2024-11-13 00:00:00+05:30,4112.542609268491,4130.899880816483,4066.2305702818967,4085.22802734375,1098813,0.0,0.0
2024-11-14 00:00:00+05:30,4070.118781462719,4094.7265129104985,4051.8600369763685,4080.84765625,1825432,0.0,0.0
2024-11-18 00:00:00+05:30,4146.894998090364,4146.894998090364,3927.5908423676865,3956.43115234375,3313944,0.0,0.0
2024-11-19 00:00:00+05:30,3956.8246828361807,4067.3133968435627,3951.115881398178,3976.16650390625,1776233,0.0,0.0
2024-11-21 00:00:00+05:30,3981.432455552984,4028.236409232463,3960.8604880090948,4008.944091796875,2384347,0.0,0.0
2024-11-22 00:00:00+05:30,4007.122846226611,4188.186720017956,3990.389589438143,4177.9990234375,3096553,0.0,0.0
2024-11-25 00:00:00+05:30,4212.843714585579,4260.189087034664,4185.480108874261,4247.39306640625,4052167,0.0,0.0
2024-11-26 00:00:00+05:30,4253.249546195695,4298.085123579749,4242.373120582253,4284.4033203125,2060669,0.0,0.0
2024-11-27 00:00:00+05:30,4290.55499634484,4308.71521363045,4256.202219033572,4264.56884765625,1558993,0.0,0.0
2024-11-28 00:00:00+05:30,4251.23184853607,4271.853320530873,4166.5812490977505,4178.29443359375,2558544,0.0,0.0
2024-11-29 00:00:00+05:30,4153.785179120677,4231.250512031332,4129.817151927626,4203.83740234375,2017425,0.0,0.0
2024-12-02 00:00:00+05:30,4203.000338296886,4220.914958216208,4163.676993000992,4209.5458984375,1670944,0.0,0.0
2024-12-03 00:00:00+05:30,4246.654900345047,4257.137698206271,4198.522271973675,4235.23681640625,2010905,0.0,0.0
2024-12-04 00:00:00+05:30,4245.867042233743,4318.115726856116,4221.751465216019,4286.076171875,3302642,0.0,0.0
2024-12-05 00:00:00+05:30,4331.747813073262,4418.564078323639,4291.588189238375,4394.00537109375,3746747,0.0,0.0
2024-12-06 00:00:00+05:30,4383.128901087652,4394.940611577895,4343.510455484962,4375.74658203125,1842087,0.0,0.0
